0.005194	0.036216	0.306099	1.163826	2.814808	5.541881	9.849595	16.522614	26.750019
0.003113	0.018951	0.156518	0.594567	1.425245	2.821145	4.927852	8.346571	13.249574
0.002477	0.013435	0.114963	0.409841	0.997716	1.978543	3.408719	5.646767	9.345772
0.002217	0.010531	0.081480	0.306942	0.739904	1.459944	2.536872	4.222876	6.929312
0.001989	0.014496	0.099167	0.325230	0.798384	1.517710	2.707996	4.477702	7.144146
0.002388	0.011863	0.085207	0.307213	0.677101	1.408368	2.422867	3.936372	6.038191
0.001910	0.012550	0.094713	0.318240	0.742255	1.410577	2.552132	4.224662	6.591213
0.001765	0.012087	0.105998	0.298725	0.755085	1.535163	2.520047	4.266275	6.848997
0.001779	0.011992	0.104166	0.367671	0.692884	1.449078	2.680755	4.578170	6.473283
0.002424	0.011122	0.104925	0.376944	0.896050	1.789443	2.511730	4.227794	6.910142
0.005522	0.011377	0.101615	0.362334	0.882257	1.750976	3.113234	5.201545	6.471049
