0.004943	0.016097	0.062516	0.245075	0.383236	1.535813	6.249838	24.489822	38.287505
0.002938	0.008939	0.035514	0.124594	0.196437	0.779022	3.205242	12.494643	19.573362
0.002932	0.008014	0.036073	0.089795	0.137622	0.543667	2.205023	8.635571	13.542460
0.002668	0.006295	0.025030	0.077978	0.120971	0.413545	1.709381	6.454808	10.082378
0.002748	0.005860	0.019164	0.067138	0.103484	0.385532	1.585806	6.009510	9.265959
0.003765	0.006672	0.016715	0.053697	0.084253	0.359081	1.286281	5.108926	7.985020
0.003139	0.005717	0.018487	0.066845	0.101019	0.386766	1.362499	5.291676	8.179777
0.003668	0.007067	0.019085	0.062637	0.094173	0.369906	1.362069	5.317597	8.216672
0.004364	0.006534	0.017936	0.066432	0.095643	0.378291	1.351231	5.254614	8.194874
0.004507	0.006533	0.018676	0.062672	0.095220	0.384094	1.356521	5.196078	8.133114
0.005471	0.006593	0.020198	0.065247	0.099002	0.367373	1.370383	5.249060	8.230862
